Пол,Возраст,Путешествует с детьми,Путешествует по работе,Тип,Расстояние,Покупка билета онлайн,Питание включено,Наличие wifi,Оценка комфортности места,Оценка качества уборки,Оценка качества обслуживания в пути,Удовлетворён предоставленной услугой,Оценка комфортности покупки билета онлайн,Оценка качества питания,Оценка качества wifi,Оценка комфортности времени отправления/прибытия,Общая оценка качества предоставленной услуги
муж,21,нет,да,купе,799,1,0,1,4,3,2,1,плохо,отсутствует,плохо,плохо,хорошо
муж,26,нет,нет,плацкарт,587,1,0,0,4,4,4,1,плохо,отсутствует,отсутствует,нормально,нормально
жен,36,нет,да,купе,585,1,0,1,4,4,4,1,нормально,отсутствует,нормально,нормально,нормально
жен,30,нет,да,плацкарт,260,1,1,1,4,4,2,1,плохо,нормально,нормально,плохо,нормально
муж,27,нет,нет,плацкарт,624,1,0,1,1,1,4,0,нормально,отсутствует,плохо,хорошо,плохо
жен,24,нет,нет,купе,203,1,0,1,1,1,4,1,нормально,отсутствует,плохо,хорошо,нормально
муж,58,нет,нет,плацкарт,420,1,0,1,4,4,4,1,нормально,отсутствует,плохо,нормально,нормально
муж,38,нет,да,плацкарт,253,1,1,0,2,2,2,1,нормально,плохо,отсутствует,нормально,нормально
жен,26,нет,да,купе,1758,1,1,1,3,3,3,1,нормально,нормально,плохо,нормально,нормально
жен,48,да,нет,купе,626,1,1,0,5,5,4,1,плохо,хорошо,отсутствует,хорошо,нормально
жен,32,нет,нет,плацкарт,396,1,1,1,2,2,5,1,нормально,плохо,плохо,нормально,нормально
муж,54,нет,да,купе,850,1,1,0,1,1,2,0,хорошо,плохо,отсутствует,плохо,плохо
жен,50,да,нет,плацкарт,289,1,0,1,3,3,5,1,нормально,отсутствует,нормально,нормально,хорошо
жен,52,нет,да,св,1336,1,1,0,5,5,5,1,хорошо,нормально,отсутствует,плохо,хорошо
жен,45,нет,нет,плацкарт,176,1,1,1,2,4,4,1,хорошо,плохо,хорошо,нормально,хорошо
муж,55,нет,нет,св,1042,1,1,0,5,2,3,0,плохо,плохо,отсутствует,хорошо,плохо
жен,56,нет,нет,купе,224,0,0,0,2,2,3,1,отсутствует,отсутствует,отсутствует,нормально,нормально
жен,44,нет,нет,плацкарт,2648,1,0,1,5,5,4,1,нормально,отсутствует,нормально,нормально,нормально
муж,48,нет,да,купе,307,1,0,1,5,5,2,1,нормально,отсутствует,хорошо,нормально,хорошо
муж,21,нет,да,плацкарт,627,1,1,1,3,4,4,1,нормально,нормально,нормально,плохо,хорошо
муж,20,нет,нет,плацкарт,665,1,0,1,4,4,3,1,нормально,отсутствует,плохо,хорошо,нормально
жен,36,да,нет,плацкарт,1001,1,0,0,2,2,4,1,нормально,отсутствует,отсутствует,нормально,нормально
жен,60,да,нет,плацкарт,1645,1,1,1,2,2,4,1,нормально,плохо,нормально,хорошо,хорошо
муж,22,нет,нет,плацкарт,1184,1,1,1,5,5,4,1,нормально,хорошо,плохо,нормально,нормально
жен,28,нет,да,плацкарт,1144,1,1,1,3,3,3,1,плохо,нормально,плохо,плохо,нормально
муж,50,нет,нет,плацкарт,264,1,1,1,3,5,4,1,нормально,хорошо,плохо,хорошо,нормально
жен,33,да,нет,плацкарт,229,1,0,0,4,4,3,1,плохо,отсутствует,отсутствует,нормально,нормально
жен,55,нет,нет,плацкарт,197,1,1,1,4,4,3,1,нормально,нормально,плохо,плохо,нормально
муж,48,нет,нет,плацкарт,1295,1,0,0,3,3,4,1,плохо,отсутствует,отсутствует,хорошо,нормально
жен,41,да,нет,плацкарт,679,1,1,1,2,2,4,1,нормально,плохо,плохо,нормально,нормально
муж,23,нет,нет,плацкарт,420,1,0,0,1,5,5,1,плохо,отсутствует,отсутствует,нормально,нормально
жен,55,нет,нет,плацкарт,1765,1,1,0,5,5,2,1,плохо,плохо,отсутствует,нормально,нормально
муж,36,нет,да,плацкарт,375,1,1,0,2,2,3,1,плохо,плохо,отсутствует,нормально,нормально
муж,27,нет,нет,плацкарт,285,1,0,0,2,2,4,0,плохо,отсутствует,отсутствует,хорошо,плохо
муж,22,нет,да,плацкарт,346,1,1,1,3,3,3,1,нормально,нормально,нормально,плохо,хорошо
жен,46,да,да,св,2414,1,1,0,5,5,5,1,плохо,хорошо,отсутствует,плохо,хорошо
жен,49,нет,нет,св,138,1,1,1,4,4,4,1,нормально,хорошо,нормально,хорошо,хорошо
муж,41,да,нет,плацкарт,552,1,0,0,5,5,3,1,плохо,отсутствует,отсутствует,нормально,нормально
жен,68,нет,нет,купе,1002,1,1,0,4,5,2,1,плохо,хорошо,отсутствует,нормально,нормально
муж,19,нет,нет,плацкарт,482,1,1,1,2,2,2,1,плохо,плохо,нормально,нормально,хорошо
жен,37,нет,нет,плацкарт,1524,1,0,1,2,2,4,1,нормально,отсутствует,плохо,нормально,нормально
муж,51,нет,нет,купе,466,1,0,1,2,3,3,1,плохо,отсутствует,плохо,плохо,нормально
муж,22,нет,да,плацкарт,851,1,1,0,4,4,5,1,плохо,нормально,отсутствует,плохо,нормально
муж,31,нет,нет,купе,1142,1,1,0,4,4,2,1,плохо,нормально,отсутствует,плохо,нормально
муж,34,нет,нет,плацкарт,639,1,0,1,5,5,5,1,нормально,отсутствует,нормально,нормально,нормально
жен,54,нет,да,плацкарт,552,1,0,1,4,3,3,1,нормально,отсутствует,плохо,нормально,нормально
муж,61,нет,да,купе,265,1,1,0,2,2,4,1,нормально,плохо,отсутствует,нормально,нормально
жен,59,да,нет,св,484,1,1,1,3,1,4,1,нормально,плохо,плохо,хорошо,нормально
жен,45,да,да,плацкарт,962,1,0,0,3,3,3,1,плохо,отсутствует,отсутствует,плохо,нормально
муж,32,да,нет,плацкарт,432,1,1,0,3,3,4,1,плохо,нормально,отсутствует,плохо,нормально
муж,31,да,нет,св,334,1,1,0,4,4,4,1,плохо,нормально,отсутствует,нормально,нормально
муж,58,нет,да,плацкарт,492,1,0,1,3,3,4,1,нормально,отсутствует,хорошо,нормально,хорошо
жен,56,нет,нет,плацкарт,2190,1,1,1,5,4,3,1,нормально,нормально,плохо,нормально,нормально
жен,50,да,нет,плацкарт,682,1,0,0,4,4,2,1,плохо,отсутствует,отсутствует,хорошо,нормально
муж,28,нет,нет,св,2219,1,0,1,3,3,2,1,нормально,отсутствует,плохо,хорошо,нормально
муж,59,да,нет,плацкарт,266,1,1,1,4,4,5,1,нормально,нормально,плохо,хорошо,нормально
муж,51,нет,нет,купе,703,1,1,0,1,1,3,0,плохо,плохо,отсутствует,нормально,плохо
муж,45,нет,да,купе,843,1,1,1,5,5,3,1,плохо,хорошо,хорошо,плохо,хорошо
муж,60,да,да,св,1283,1,0,0,1,1,2,0,плохо,отсутствует,отсутствует,плохо,плохо
жен,49,да,нет,плацкарт,1047,1,0,1,2,2,4,1,нормально,отсутствует,плохо,хорошо,нормально
жен,29,нет,нет,купе,180,1,1,0,2,2,3,1,плохо,плохо,отсутствует,хорошо,нормально
жен,49,да,да,плацкарт,1306,1,1,1,4,4,3,1,нормально,нормально,плохо,нормально,нормально
муж,60,да,да,плацкарт,875,1,1,1,1,1,4,0,нормально,плохо,плохо,нормально,плохо
муж,70,нет,нет,плацкарт,469,1,1,0,4,4,4,1,хорошо,нормально,отсутствует,нормально,нормально
муж,34,нет,да,плацкарт,341,1,0,0,2,2,2,0,плохо,отсутствует,отсутствует,плохо,плохо
муж,51,нет,да,плацкарт,182,1,1,1,4,4,3,1,плохо,нормально,нормально,хорошо,хорошо
жен,35,нет,нет,плацкарт,647,1,1,0,3,3,4,1,плохо,нормально,отсутствует,нормально,нормально
жен,48,да,да,св,1023,1,0,1,5,5,4,1,нормально,отсутствует,плохо,нормально,хорошо
жен,28,нет,да,купе,526,1,1,1,5,5,4,1,плохо,хорошо,хорошо,плохо,хорошо
